titulo,precio,provincia,num_dormitorios,num_banos,area,num_garages,ciudad,sector,lugar,rango_area,tipo_precio
ARRIENDO SUITE AMOBLADA EN EL QUITO TENIS,750,Pichincha,1.0,1.0,125.0,1.0,Quito,Quito Tenis,Quito,120-180,Lujo
Quieres rentar consultorio Hospital de los Valles?,350,Pichincha,3.0,2.0,43.0,1.0,Quito,Av. Interocenica,Quito,0-50,Economico
DEPARTAMENTO TRES DORMITORIOS SECTOR EL BOSQUE,650,Pichincha,3.0,3.0,190.0,2.0,Quito,Av. Brasil & El Condor,Quito,180-250,Medio
Buscas rentar un departamento en Mastodontes?,350,Pichincha,3.0,1.0,125.0,1.0,Quito,Av Jaime Rolds Aguilera,Quito,120-180,Economico
Arriendo consultorio en la Clnica Pichincha,350,Pichincha,3.0,2.0,30.0,1.0,Quito,Avenida General Ignacio De Veintimilla & 9 De Octubre,Quito,0-50,Economico
"TERRENO EN RENTA 3350 M2, SAN ANTONIO DE PICHINCHA",1200,Pichincha,3.0,2.0,3350.0,1.0,Quito,San Antonio De Pichincha,Quito,,Lujo
EN RENTA  REA COMERCIAL VA AMAGUAA TAMBILLO,150,Pichincha,3.0,2.0,143.0,3.0,Tambillo,Tambillo,Tambillo,120-180,Medio
"CASA DE ARRIENDO 189 M2, SECTOR DE CONOCOTO",1000,Pichincha,5.0,3.0,180.0,1.0,Quito,Polit Lasso,Quito,120-180,Lujo
Departamento Amplio en el Norte de Quito,350,Pichincha,4.0,3.0,100.0,1.0,Quito,Jorge Piedra Y Gonzalo Gallo,Quito,80-120,Economico
LOCAL EN RENTA SAN ISIDRO la California Alta y E16 Conjunto Mirador de Amagas,200,Pichincha,3.0,1.0,23.0,1.0,Quito,Conjunto Habitacional Mirador De Amagas,Quito,0-50,Economico
"OFICINAS DE ARRIENDO 200 M2, SECTOR IAQUITO",1500,Pichincha,3.0,2.0,200.0,4.0,Quito,Avenida Gaspar De Villaroel & Japn,Quito,180-250,Lujo
LOCAL COMERCIAL DE ARRIENDO 80 M2 SECTOR AMERICA,400,Pichincha,3.0,2.0,80.0,1.0,Quito,Buenos Aires & Estados Unidos,Quito,50-80,Medio
Departamento Amplio en el Norte de Quito,380,Pichincha,3.0,2.0,120.0,1.0,Sector El Inca,Callde De Los Guabos Y De Las Cucardas,Sector El Inca,80-120,Medio
Local en Renta Terracota,450,Pichincha,2.5,1.0,110.0,1.0,Sangolqu,Sangolqu,Sangolqu,80-120,Medio
Hermoso departamento Remodelado centro norte,480,Pichincha,2.0,3.0,115.0,1.0,Calle Nuo De Valderrama Y Mariana De Jess,Sector Mariana De Jess,Calle Nuo De Valderrama Y Mariana De Jess,80-120,Medio
DEPARTAMENTO EN RENTA EN LA DIEGO DE ALMAGRO,100,Pichincha,2.0,2.0,1.0,1.0,Quito 170517,Whymper & Diego De Almagro,Quito 170517,0-50,Economico
